中,1
文,1
第,1
一,1
课,1
我,1
你,1
他,1
她,1
不,1
很,1
也,1
再,1
见,1
谢,1
好,1
忙,1
累,1
吗,1
呢,1
二,2
您,2
贵,2
姓,2
名,2
字,2
叫,2
什,2
么,2
大,2
小,2
认,2
识,2
高,2
兴,2
黄,2
邓,2
平,2
三,3
是,3
谁,3
老,3
师,3
学,3
生,3
先,3
夫,3
人,3
对,3
起,3
没,3
关,3
系,3
客,3
气,3
李,3
四,4
这,4
那,4
们,4
的,4
和,4
请,4
问,4
朋,4
友,4
姐,4
秘,4
书,4
龙,4
男,4
女,4
介,4
绍,4
习,4
数,5
零,5
五,5
六,5
七,5
八,5
九,5
十,5
百,5
千,5
万,5
亿,5
期,5
年,5
月,5
日,5
号,5
几,6
今,6
天,6
明,6
昨,6
星,6
知,6
道,6
到,6
爱,7
想,7
有,7
要,7
去,7
在,7
哪,7
儿,7
里,7
笔,7
民,7
画,7
报,7
店,7
米,7
饭,7
馆,7
校,7
买,7
卖,7
早,8
晚,8
上,8
下,8
午,8
空,8
工,8
作,8
吃,8
回,8
来,8
家,8
可,8
睡,8
觉,8
时,8
候,8
点,8
两,9
唱,9
歌,9
词,9
条,9
口,9
河,9
忘,9
记,9
川,9
喝,9
水,9
就,9
切,9
自,9
己,9
又,9
了,9
分,10
钟,10
差,10
刻,10
国,10
银,10
行,10
现,10
已,10
经,10
市,10
心,10
开,10
门,10
半,10
太,10
巴,10
黎,10
南,10
特,10
北,11
京,11
多,11
久,11
容,11
易,11
难,11
说,11
写,11
会,11
比,11
较,11
法,11
英,11
德,11
本,11
汉,11
语,11
钱,12
个,12
张,12
只,12
种,12
份,12
别,12
还,12
找,12
给,12
元,12
块,12
毛,12
少,12
共,12
斤,12
苹,12
果,12
东,13
西,13
衣,13
服,13
风,13
雨,13
件,13
穿,13
皮,13
鞋,13
双,13
吧,13
怎,13
样,13
试,13
面,13
部,13
便,13
宜,13
商,13
正,13
合,13
适,13
交,13
装,13
