您,1,1,1
貴,1,1,2
姓,1,1,3
李,1,1,4
先,1,1,5
生,1,1,6
王,1,1,7
我,1,1,8
叫,1,1,9
好,1,1,10
是,1,1,11
美,1,1,12
國,1,1,13
人,1,1,14
嗎,1,1,15
不,1,1,16
英,1,1,17
你,1,1,18
什,1,1,19
麼,1,1,20
名,1,1,21
字,1,1,22
哪,1,1,23
呢,1,1,24
中,1,1,25
她,1,1,26
她,1,1,27
誰,1,1,28
台,1,1,29
灣,1,1,30
華,1,1,31
臺,1,1,32
早,1,2,1
趙,1,2,2
小,1,2,3
姐,1,2,4
張,1,2,5
久,1,2,6
見,1,2,7
啊,1,2,8
很,1,2,9
謝,1,2,10
也,1,2,11
這,1,2,12
太,1,2,13
天,1,2,14
氣,1,2,15
熱,1,2,16
去,1,2,17
上,1,2,18
課,1,2,19
們,1,2,20
忙,1,2,21
再,1,2,22
冷,1,3,1
喜,1,3,2
歡,1,3,3
看,1,3,4
電,1,3,5
影,1,3,6
視,1,3,7
都,1,3,8
有,1,3,9
沒,1,3,10
汽,1,3,11
車,1,3,12
要,1,3,13
買,1,3,14
可,1,3,15
書,1,3,16
日,1,3,17
本,1,3,18
筆,1,3,19
德,1,3,20
報,1,3,21
法,1,3,22
文,1,3,23
東,1,3,24
西,1,3,25
懂,1,3,26
一,1,4,1
二,1,4,2
三,1,4,3
四,1,4,4
五,1,4,5
六,1,4,6
七,1,4,7
八,1,4,8
九,1,4,9
十,1,4,10
枝,1,4,11
多,1,4,12
少,1,4,13
錢,1,4,14
種,1,4,15
毛,1,4,16
分,1,4,17
幾,1,4,18
兩,1,4,19
塊,1,4,20
零,1,4,21
給,1,4,22
請,1,4,23
找,1,4,24
個,1,4,25
杯,1,4,26
共,1,4,27
半,1,4,28
位,1,4,29
那,1,4,30
家,1,5,1
爸,1,5,2
媽,1,5,3
的,1,5,4
像,1,5,5
片,1,5,6
兒,1,5,7
老,1,5,8
師,1,5,9
對,1,5,10
哥,1,5,11
還,1,5,12
弟,1,5,13
女,1,5,14
孩,1,5,15
子,1,5,16
朋,1,5,17
友,1,5,18
些,1,5,19
伯,1,5,20
貓,1,5,21
男,1,5,22
夠,1,5,23
學,1,5,24
妹,1,5,25
相,1,5,26
想,1,6,1
新,1,6,2
照,1,6,3
機,1,6,4
問,1,6,5
舊,1,6,6
了,1,6,7
貨,1,6,8
覺,1,6,9
得,1,6,10
大,1,6,11
百,1,6,12
便,1,6,13
宜,1,6,14
只,1,6,15
賣,1,6,16
萬,1,6,17
知,1,6,18
道,1,6,19
千,1,6,20
直,1,6,21
校,1,6,22
億,1,6,23
錶,1,6,24
夠,1,6,25
念,1,7,1
聽,1,7,2
在,1,7,3
慢,1,7,4
意,1,7,5
思,1,7,6
點,1,7,7
難,1,7,8
以,1,7,9
教,1,7,10
現,1,7,11
說,1,7,12
能,1,7,13
會,1,7,14
唱,1,7,15
歌,1,7,16
吃,1,7,17
飯,1,7,18
菜,1,7,19
喝,1,7,20
酒,1,7,21
學,1,7,22
做,1,7,23
事,1,7,24
畫,1,7,25
快,1,7,26
常,1,8,1
最,1,8,2
愛,1,8,3
跳,1,8,4
舞,1,8,5
錯,1,8,6
穿,1,8,7
衣,1,8,8
服,1,8,9
外,1,8,10
定,1,8,11
就,1,8,12
噢,1,8,13
為,1,8,14
因,1,8,15
所,1,8,16
母,1,8,17
親,1,8,18
父,1,8,19
件,1,8,20
茶,1,8,21
水,1,8,22
容,1,8,23
易,1,8,24
裡,1,9,1
路,1,9,2
圖,1,9,3
館,1,9,4
後,1,9,5
面,1,9,6
樓,1,9,7
附,1,9,8
近,1,9,9
店,1,9,10
方,1,9,11
房,1,9,12
客,1,9,13
廳,1,9,14
邊,1,9,15
旁,1,9,16
間,1,9,17
屋,1,9,18
離,1,9,19
遠,1,9,20
地,1,9,21
下,1,9,22
桌,1,9,23
椅,1,9,24
底,1,9,25
前,1,9,26
商,1,9,27
到,1,10,1
玩,1,10,2
跟,1,10,3
怎,1,10,4
坐,1,10,5
飛,1,10,6
船,1,10,7
票,1,10,8
樣,1,10,9
時,1,10,10
候,1,10,11
回,1,10,12
來,1,10,13
昨,1,10,14
晚,1,10,15
累,1,10,16
走,1,10,17
開,1,10,18
停,1,10,19
從,1,10,20
午,1,10,21
火,1,10,22
公,1,10,23
明,1,10,24
已,1,10,25
經,1,10,26
今,1,10,27
鐘,1,11,1
頭,1,11,2
起,1,11,3
刻,1,11,4
馬,1,11,5
門,1,11,6
口,1,11,7
等,1,11,8
吧,1,11,9
過,1,11,10
床,1,11,11
差,1,11,12
站,1,11,13
題,1,11,14
每,1,11,15
司,1,11,16
班,1,11,17
休,1,11,18
息,1,11,19
別,1,11,20
睡,1,11,21
夜,1,11,22
月,1,12,1
歐,1,12,2
洲,1,12,3
年,1,12,4
旅,1,12,5
行,1,12,6
冬,1,12,7
春,1,12,8
雨,1,12,9
應,1,12,10
該,1,12,11
夏,1,12,12
星,1,12,13
期,1,12,14
剛,1,12,15
考,1,12,16
試,1,12,17
辦,1,12,18
著,1,12,19
急,1,12,20
秋,1,12,21
季,1,12,22
節,1,12,23
風,1,12,24
景,1,12,25
號,1,12,26
輛,1,12,27
住,1,12,28
